"id","trial_number","rt","response","attempt","correct","incorrect","ssd","answer","task","stop","rt_z","ssd_z"
56,192,473.2,"Right",1,1,0,250,"Right","NoStop",0,0.255561061554443,0.435759309670453
56,193,364.2,"Left",1,1,0,250,"Left","NoStop",0,-0.081259522816085,0.435759309670453
56,194,506.4000001,"Right",1,1,0,250,"Right","NoStop",0,0.358152285726769,0.435759309670453
56,195,1251.751,"NoGo",NA,1,0,250,"NoGo","Stop",1,2.66135925221736,0.435759309670453
56,196,456.5,"Left",1,1,0,300,"Left","NoStop",0,0.203956439912353,0.748597650703193
56,197,397.7,"Left",1,1,0,300,"Left","NoStop",0,0.0222587301785267,0.748597650703193
56,198,486.2,"Left",1,1,0,300,"Left","NoStop",0,0.29573232391056,0.748597650703193
56,199,480.7,"Left",1,1,0,300,"Left","NoStop",0,0.278736789836818,0.748597650703193
56,200,548.2,"Left",1,1,0,300,"Left","NoStop",0,0.4873183443782,0.748597650703193
56,201,479.8,"Right",1,1,0,300,"Right","NoStop",0,0.275955702442933,0.748597650703193
56,202,434.7,"Right",1,1,0,300,"Right","NoStop",0,0.136592323038247,0.748597650703193
56,203,391.3999999,"Left",1,1,0,300,"Left","NoStop",0,0.00279111811232143,0.748597650703193
56,204,513.8999999,"Left",1,1,0,300,"Left","NoStop",0,0.381328013391125,0.748597650703193
56,205,1201.309,"NoGo",NA,1,0,300,"NoGo","Stop",1,2.50548857408142,0.748597650703193
56,206,1151.689,"NoGo",NA,1,0,350,"NoGo","Stop",1,2.35215795576522,1.06143599173593
56,207,339.5,"Right",1,1,0,400,"Right","NoStop",0,-0.157584921292709,1.37427433276867
56,208,1100.817,"NoGo",NA,1,0,400,"NoGo","Stop",1,2.19495853587442,1.37427433276867
56,209,522.7,"Left",1,1,0,450,"Left","NoStop",0,0.408520868218123,1.68711267380141
56,210,383,"Right",1,1,0,450,"Right","NoStop",0,-0.0231656972549297,1.68711267380141
56,211,421.2,"Left",1,1,0,450,"Left","NoStop",0,0.0948760121299707,1.68711267380141
56,212,1051.168,"NoGo",NA,1,0,450,"NoGo","Stop",1,2.04153830474219,1.68711267380141
56,213,271.9000001,"Right",1,1,0,500,"Right","NoStop",0,-0.366475485235513,1.99995101483415
56,214,228.8,"Left",1,1,0,500,"Left","NoStop",0,-0.499658670740575,1.99995101483415
56,215,463.4000001,"Left",1,1,0,500,"Left","NoStop",0,0.225278110241148,1.99995101483415
56,216,509.4000001,"Left",1,1,0,500,"Left","NoStop",0,0.367422577039719,1.99995101483415
56,217,368.4000001,"Left",1,1,0,500,"Left","NoStop",0,-0.0682811146689448,1.99995101483415
56,218,265.1000001,"Right",1,1,0,500,"Right","NoStop",0,-0.387488145544867,1.99995101483415
