"id","trial_number","rt","response","attempt","correct","incorrect","ssd","answer","task","stop","rt_z","ssd_z"
4,"21",230.3,"Left",1,0,1,50,"NoGo","Stop",1,-0.545632031177567,-1.05094370729049
4,"22",253.5,"Right",1,0,1,50,"NoGo","Stop",1,-0.471328522949996,-1.05094370729049
4,"23",269.1,"Left",1,1,0,50,"Left","NoStop",0,-0.421365819141802,-1.05094370729049
4,"24",216.3,"Right",1,1,0,50,"Right","NoStop",0,-0.590470355107997,-1.05094370729049
4,"25",179,"Left",1,1,0,50,"Left","NoStop",0,-0.709932461008358,-1.05094370729049
4,"26",339.6,"Left",1,1,0,50,"Left","NoStop",0,-0.19557283077785,-1.05094370729049
4,"27",228.5,"Left",1,1,0,50,"Left","NoStop",0,-0.551396958540051,-1.05094370729049
4,"28",467.6,"Right",1,0,1,50,"NoGo","Stop",1,0.214377559443228,-1.05094370729049
4,"29",971.6,"Right",1,0,1,50,"NoGo","Stop",1,1.82855722093872,-1.05094370729049
4,"30",370.3,"Right",1,1,0,50,"Right","NoStop",0,-0.097248791873263,-1.05094370729049
4,"31",804.6,"Right",1,0,1,50,"NoGo","Stop",1,1.29370007119716,-1.05094370729049
4,"32",392.5,"Right",1,1,0,50,"Right","NoStop",0,-0.0261480210692949,-1.05094370729049
4,"33",359,"Left",1,1,0,50,"Left","NoStop",0,-0.133439724759968,-1.05094370729049
4,"34",309,"Left",1,1,0,50,"Left","NoStop",0,-0.293576595940076,-1.05094370729049
4,"35",761.7,"Left",1,0,1,50,"NoGo","Stop",1,1.15630263572463,-1.05094370729049
4,"36",242.9,"Right",1,1,0,50,"Right","NoStop",0,-0.505277539640179,-1.05094370729049
4,"37",281.9,"Right",1,1,0,50,"Right","NoStop",0,-0.380370780119695,-1.05094370729049
4,"38",246.4,"Right",1,1,0,50,"Right","NoStop",0,-0.494067958657572,-1.05094370729049
4,"39",192.5,"Right",1,0,1,50,"Left","NoStop",0,-0.666695505789729,-1.05094370729049
4,"40",349.6,"Left",1,1,0,50,"Left","NoStop",0,-0.163545456541828,-1.05094370729049
4,"41",488.3,"Left",1,0,1,50,"NoGo","Stop",1,0.280674224111793,-1.05094370729049
4,"42",766.4,"Left",1,1,0,50,"Left","NoStop",0,1.17135550161556,-1.05094370729049
4,"43",299.3,"Right",1,1,0,50,"Right","NoStop",0,-0.324643148949017,-1.05094370729049
4,"44",263.9,"Right",1,1,0,50,"Right","NoStop",0,-0.438020053744534,-1.05094370729049
4,"45",196,"Right",1,0,1,50,"Left","NoStop",0,-0.655485924807121,-1.05094370729049
4,"46",847.4,"Left",1,0,1,50,"NoGo","Stop",1,1.43077723292733,-1.05094370729049
4,"47",300.8,"Right",1,1,0,50,"Right","NoStop",0,-0.319839042813614,-1.05094370729049
4,"48",606.3,"Left",1,1,0,50,"Left","NoStop",0,0.658597240096849,-1.05094370729049
4,"49",302.9,"Left",1,1,0,50,"Left","NoStop",0,-0.313113294224049,-1.05094370729049
4,"50",506.6,"Right",1,1,0,50,"Right","NoStop",0,0.339284318963713,-1.05094370729049
4,"51",297.3,"Left",1,1,0,50,"Left","NoStop",0,-0.331048623796221,-1.05094370729049
4,"52",287.5,"Right",1,0,1,50,"NoGo","Stop",1,-0.362435450547523,-1.05094370729049
4,"53",334.3,"Right",1,1,0,50,"Right","NoStop",0,-0.212547339122941,-1.05094370729049
4,"54",274,"Left",1,1,0,50,"Left","NoStop",0,-0.405672405766152,-1.05094370729049
4,"55",333,"Left",1,1,0,50,"Left","NoStop",0,-0.216710897773624,-1.05094370729049
4,"56",307.4,"Right",1,1,0,50,"Right","NoStop",0,-0.29870097581784,-1.05094370729049
4,"57",766.9,"Left",1,0,1,50,"NoGo","Stop",1,1.17295687032736,-1.05094370729049
4,"58",325.3,"Left",1,1,0,50,"Left","NoStop",0,-0.241371975935361,-1.05094370729049
4,"59",285.6,"Left",1,1,0,50,"Left","NoStop",0,-0.368520651652367,-1.05094370729049
4,"60",297.8,"Right",1,1,0,50,"Right","NoStop",0,-0.32944725508442,-1.05094370729049
4,"61",263,"Right",1,1,0,50,"Right","NoStop",0,-0.440902517425776,-1.05094370729049
4,"62",291.9,"Right",1,0,1,50,"NoGo","Stop",1,-0.348343405883673,-1.05094370729049
4,"63",261.2,"Right",1,1,0,50,"Right","NoStop",0,-0.44666744478826,-1.05094370729049
4,"64",265.4,"Right",1,1,0,50,"Right","NoStop",0,-0.433215947609131,-1.05094370729049
4,"65",317.5,"Left",1,1,0,50,"Left","NoStop",0,-0.266353327839458,-1.05094370729049
4,"66",255.6,"Left",1,1,0,50,"Left","NoStop",0,-0.464602774360432,-1.05094370729049
4,"67",327,"Right",1,1,0,50,"Right","NoStop",0,-0.235927322315237,-1.05094370729049
4,"68",736,"Left",1,0,1,50,"NoGo","Stop",1,1.07399228393805,-1.05094370729049
4,"69",331,"Left",1,1,0,50,"Left","NoStop",0,-0.223116372620828,-1.05094370729049
4,"70",333,"Left",1,1,0,50,"Left","NoStop",0,-0.216710897773624,-1.05094370729049
4,"71",318.3,"Right",1,1,0,50,"Right","NoStop",0,-0.263791137900576,-1.05094370729049
4,"72",275.9,"Right",1,1,0,50,"Right","NoStop",0,-0.399587204661308,-1.05094370729049
4,"73",311,"Left",1,0,1,50,"NoGo","Stop",1,-0.287171121092872,-1.05094370729049
4,"74",327.9,"Left",1,1,0,50,"Left","NoStop",0,-0.233044858633995,-1.05094370729049
4,"75",726.4,"Right",1,0,1,50,"NoGo","Stop",1,1.04324600467147,-1.05094370729049
4,"76",374.3,"Left",1,1,0,50,"Left","NoStop",0,-0.0844378421788543,-1.05094370729049
4,"77",283.2,"Left",1,1,0,50,"Left","NoStop",0,-0.376207221469012,-1.05094370729049
4,"78",729.4,"Left",1,0,1,50,"NoGo","Stop",1,1.05285421694228,-1.05094370729049
4,"79",228.1,"Right",1,0,1,50,"Left","NoStop",0,-0.552678053509492,-1.05094370729049
4,"80",306,"Right",1,1,0,50,"Right","NoStop",0,-0.303184808210883,-1.05094370729049
4,"81",299.8,"Left",1,1,0,50,"Left","NoStop",0,-0.323041780237216,-1.05094370729049
4,"82",766.5,"Right",1,0,1,50,"NoGo","Stop",1,1.17167577535792,-1.05094370729049
4,"83",234,"Left",1,0,1,50,"NoGo","Stop",1,-0.533781902710239,-1.05094370729049
4,"84",315.5,"Right",1,1,0,50,"Right","NoStop",0,-0.272758802686662,-1.05094370729049
4,"85",751.7,"Left",1,0,1,50,"NoGo","Stop",1,1.1242752614886,-1.05094370729049
4,"86",247.8,"Right",1,1,0,50,"Right","NoStop",0,-0.489584126264529,-1.05094370729049
4,"87",304,"Right",1,0,1,50,"NoGo","Stop",1,-0.309590283058087,-1.05094370729049
4,"88",451.1,"Right",1,1,0,50,"Right","NoStop",0,0.161532391953792,-1.05094370729049
4,"89",843.7,"Right",1,0,1,50,"NoGo","Stop",1,1.41892710446,-1.05094370729049
4,"90",331.5,"Left",1,1,0,50,"Left","NoStop",0,-0.221515003909027,-1.05094370729049
4,"91",366.2,"Right",1,1,0,50,"Right","NoStop",0,-0.110380015310032,-1.05094370729049
4,"92",359,"Right",1,1,0,50,"Right","NoStop",0,-0.133439724759968,-1.05094370729049
4,"93",344,"Left",1,0,1,50,"NoGo","Stop",1,-0.181480786114,-1.05094370729049
4,"94",288.8,"Right",1,1,0,50,"Right","NoStop",0,-0.35827189189684,-1.05094370729049
4,"95",741,"Left",1,0,1,50,"NoGo","Stop",1,1.09000597105606,-1.05094370729049
4,"96",846.2,"Left",1,0,1,50,"NoGo","Stop",1,1.42693394801901,-1.05094370729049
4,"97",272.1,"Right",1,1,0,50,"Right","NoStop",0,-0.411757606870996,-1.05094370729049
4,"98",225.5,"Right",1,1,0,50,"Right","NoStop",0,-0.561005170810857,-1.05094370729049
4,"99",736.5,"Right",1,0,1,50,"NoGo","Stop",1,1.07559365264985,-1.05094370729049
4,"100",620,"Right",1,1,0,50,"Right","NoStop",0,0.702474742800199,-1.05094370729049
4,"101",281.9,"Right",1,1,0,50,"Right","NoStop",0,-0.380370780119695,-1.05094370729049
4,"102",353.1,"Left",1,0,1,50,"NoGo","Stop",1,-0.15233587555922,-1.05094370729049
4,"103",356.2,"Right",1,0,1,50,"NoGo","Stop",1,-0.142407389546054,-1.05094370729049
4,"104",829.8,"Left",1,0,1,50,"NoGo","Stop",1,1.37440905427193,-1.05094370729049
