"id","trial_number","rt","response","attempt","correct","incorrect","ssd","answer","task","ReflectionSum","BroodingSum","DepressiveSum","IntrusiveSum","DeliberateSum","ReappraisalSum","SuppressionSum","SSRT"
"82",158,281.3999999,"Right",1,1,0,50,"Right","NoStop",11,15,27,8,15,32,18,543
"82",159,219.9000001,"Right",1,0,1,50,"Left","NoStop",11,15,27,8,15,32,18,543
"82",160,258,"Left",1,1,0,50,"Left","NoStop",11,15,27,8,15,32,18,543
"82",161,325.3,"Left",1,1,0,50,"Left","NoStop",11,15,27,8,15,32,18,543
"82",162,727.8999999,"Left",1,0,1,50,"NoGo","Stop",11,15,27,8,15,32,18,543
"82",163,290.4000001,"Right",1,1,0,50,"Right","NoStop",11,15,27,8,15,32,18,543
"82",164,249.8000002,"Left",1,1,0,50,"Left","NoStop",11,15,27,8,15,32,18,543
"82",165,721.5,"Right",1,0,1,50,"NoGo","Stop",11,15,27,8,15,32,18,543
"82",166,330.8,"Right",1,1,0,50,"Right","NoStop",11,15,27,8,15,32,18,543
"82",167,259.8,"Left",1,1,0,50,"Left","NoStop",11,15,27,8,15,32,18,543
"82",168,696.2,"Right",1,0,1,50,"NoGo","Stop",11,15,27,8,15,32,18,543
"82",169,276.5999999,"Left",1,1,0,50,"Left","NoStop",11,15,27,8,15,32,18,543
"82",170,265.9000001,"Right",1,1,0,50,"Right","NoStop",11,15,27,8,15,32,18,543
"82",171,202.5,"Left",1,0,1,50,"Right","NoStop",11,15,27,8,15,32,18,543
"82",172,570,"Left",1,0,1,50,"NoGo","Stop",11,15,27,8,15,32,18,543
"82",173,706.1000001,"Left",1,0,1,50,"NoGo","Stop",11,15,27,8,15,32,18,543
"82",174,259.6000001,"Left",1,1,0,50,"Left","NoStop",11,15,27,8,15,32,18,543
"82",175,554.8,"Left",1,0,1,50,"NoGo","Stop",11,15,27,8,15,32,18,543
"82",176,341.5,"Right",1,1,0,50,"Right","NoStop",11,15,27,8,15,32,18,543
"82",177,261.2,"Left",1,0,1,50,"NoGo","Stop",11,15,27,8,15,32,18,543
"82",178,306.8,"Right",1,1,0,50,"Right","NoStop",11,15,27,8,15,32,18,543
"82",179,689.8999999,"Left",1,0,1,50,"NoGo","Stop",11,15,27,8,15,32,18,543
"82",180,284.7,"Right",1,1,0,50,"Right","NoStop",11,15,27,8,15,32,18,543
"82",181,508.3,"Right",1,1,0,50,"Right","NoStop",11,15,27,8,15,32,18,543
"82",182,281.9000001,"Right",1,1,0,50,"Right","NoStop",11,15,27,8,15,32,18,543
"82",183,675.4000001,"Left",1,0,1,50,"NoGo","Stop",11,15,27,8,15,32,18,543
"82",184,257.9000001,"Right",1,1,0,50,"Right","NoStop",11,15,27,8,15,32,18,543
"82",185,685.9000001,"Right",1,0,1,50,"NoGo","Stop",11,15,27,8,15,32,18,543
"82",186,696.0999999,"Right",1,0,1,50,"NoGo","Stop",11,15,27,8,15,32,18,543
