"id","trial_number","rt","response","attempt","correct","incorrect","ssd","answer","task"
16,"119",235,"Right",1,1,0,300,"Right","NoStop"
16,"120",265.5,"Left",1,1,0,300,"Left","NoStop"
16,"121",331.3,"Right",1,1,0,300,"Right","NoStop"
16,"122",265.1,"Right",1,1,0,300,"Right","NoStop"
16,"123",1201.105,"NoGo",NA,1,0,300,"NoGo","Stop"
16,"124",123.1,"Left",1,1,0,350,"Left","NoStop"
16,"125",381.1,"Right",1,1,0,350,"Right","NoStop"
16,"126",181.4,"Left",1,1,0,350,"Left","NoStop"
16,"127",80.79999995,"Right",1,1,0,350,"Right","NoStop"
16,"128",290.5,"Left",1,1,0,350,"Left","NoStop"
16,"129",824.2,"Left",1,1,0,350,"Left","NoStop"
16,"130",85.70000005,"Left",1,1,0,350,"Left","NoStop"
16,"131",114.3,"Left",1,0,1,350,"NoGo","Stop"
16,"132",192.9000001,"Right",1,0,1,300,"NoGo","Stop"
16,"133",419.6,"Right",1,1,0,250,"Right","NoStop"
16,"134",315.8,"Left",1,1,0,250,"Left","NoStop"
16,"135",428.5,"Right",1,1,0,250,"Right","NoStop"
16,"136",1251.316,"NoGo",NA,1,0,250,"NoGo","Stop"
16,"137",353.1999999,"Left",1,1,0,300,"Left","NoStop"
16,"138",414.3,"Right",1,1,0,300,"Right","NoStop"
16,"139",1201.204,"NoGo",NA,1,0,300,"NoGo","Stop"
16,"140",266,"Left",1,1,0,350,"Left","NoStop"
16,"141",1151.239,"NoGo",NA,1,0,350,"NoGo","Stop"
16,"142",1100.943,"NoGo",NA,1,0,400,"NoGo","Stop"
16,"143",165.5,"Right",1,1,0,450,"Right","NoStop"
16,"144",422.1999999,"Left",1,1,0,450,"Left","NoStop"
16,"145",352.2,"Left",1,1,0,450,"Left","NoStop"
16,"146",306.6999999,"Left",1,1,0,450,"Left","NoStop"
16,"147",357.2,"Left",1,1,0,450,"Left","NoStop"
16,"148",267.4,"Right",1,1,0,450,"Right","NoStop"
16,"149",164.3000001,"Left",1,1,0,450,"Left","NoStop"
16,"150",27.5,"Left",1,0,1,450,"NoGo","Stop"
16,"151",230.2,"Left",1,1,0,400,"Left","NoStop"
16,"152",189.8,"Left",1,1,0,400,"Left","NoStop"
16,"153",315.6,"Left",1,1,0,400,"Left","NoStop"
16,"154",305.7,"Right",1,1,0,400,"Right","NoStop"
16,"155",247.5,"Left",1,1,0,400,"Left","NoStop"
16,"156",199.9,"Left",1,0,1,400,"NoGo","Stop"
16,"157",495.6,"Left",1,1,0,350,"Left","NoStop"
16,"158",61,"Right",1,1,0,350,"Right","NoStop"
16,"159",188,"Left",1,0,1,350,"NoGo","Stop"
16,"160",212.9,"Left",1,1,0,300,"Left","NoStop"
16,"161",510.3,"Left",1,1,0,300,"Left","NoStop"
16,"162",362.1999999,"Right",1,1,0,300,"Right","NoStop"
16,"163",256.5,"Right",1,1,0,300,"Right","NoStop"
16,"164",384.5,"Left",1,1,0,300,"Left","NoStop"
16,"165",240.1,"Left",1,1,0,300,"Left","NoStop"
16,"166",110.5,"Left",1,1,0,300,"Left","NoStop"
16,"167",128.9,"Left",1,1,0,300,"Left","NoStop"
16,"168",231.6,"Right",1,1,0,300,"Right","NoStop"
16,"169",78.79999995,"Left",1,0,1,300,"Right","NoStop"
16,"170",200.2,"Right",1,1,0,300,"Right","NoStop"
16,"171",178.6,"Right",1,1,0,300,"Right","NoStop"
16,"172",248.3000001,"Right",1,1,0,300,"Right","NoStop"
16,"173",148.6,"Left",1,1,0,300,"Left","NoStop"
16,"174",98.39999998,"Right",1,1,0,300,"Right","NoStop"
16,"175",70.89999998,"Right",1,1,0,300,"Right","NoStop"
16,"176",43.89999998,"Left",1,1,0,300,"Left","NoStop"
16,"177",49.10000002,"Right",1,0,1,300,"NoGo","Stop"
16,"178",553.6,"Left",1,1,0,250,"Left","NoStop"
16,"179",204.5,"Left",1,1,0,250,"Left","NoStop"
16,"180",190.2,"Right",1,1,0,250,"Right","NoStop"
16,"181",614.5999999,"Right",1,1,0,250,"Right","NoStop"
