"Schedule.ID","Participant.Public.ID","Trial.Number","Reaction.Time","Response","Attempt","Correct","Incorrect","ssd","display","ANSWER","Task"
23219489,2,"205",409.9,"Left",1,1,0,250,"craving","Left","NoStop"
23219489,2,"206",199.3,"Left",1,0,1,250,"craving","NoGo","Stop"
23219489,2,"207",573.9,"Left",1,1,0,200,"craving","Left","NoStop"
23219489,2,"208",464,"Left",1,1,0,200,"craving","Left","NoStop"
23219489,2,"209",404.9,"Right",1,1,0,200,"craving","Right","NoStop"
23219489,2,"210",349.9,"Left",1,1,0,200,"craving","Left","NoStop"
23219489,2,"211",1299.817,"NoGo",NA,1,0,200,"craving","NoGo","Stop"
23219489,2,"212",350.3,"Right",1,1,0,250,"craving","Right","NoStop"
23219489,2,"213",331.2,"Left",1,1,0,250,"craving","Left","NoStop"
23219489,2,"214",450.3,"Left",1,1,0,250,"craving","Left","NoStop"
23219489,2,"215",268.1,"Right",1,1,0,250,"craving","Right","NoStop"
23219489,2,"216",247.7,"Right",1,1,0,250,"craving","Right","NoStop"
23219489,2,"217",363.8,"Left",1,1,0,250,"craving","Left","NoStop"
23219489,2,"218",275.3,"Left",1,1,0,250,"craving","Left","NoStop"
23219489,2,"219",1249.982,"NoGo",NA,1,0,250,"craving","NoGo","Stop"
23219489,2,"220",239.3,"Left",1,1,0,300,"craving","Left","NoStop"
23219489,2,"221",312,"Left",1,1,0,300,"craving","Left","NoStop"
23219489,2,"222",1199.996,"NoGo",NA,1,0,300,"craving","NoGo","Stop"
23219489,2,"223",134.3,"Left",1,0,1,350,"craving","NoGo","Stop"
23219489,2,"224",1199.79,"NoGo",NA,1,0,300,"craving","NoGo","Stop"
23219489,2,"225",83.80000001,"Right",1,1,0,350,"craving","Right","NoStop"
23219489,2,"226",251.1,"Right",1,0,1,350,"craving","NoGo","Stop"
23219489,2,"227",1200.048,"NoGo",NA,1,0,300,"craving","NoGo","Stop"
23219489,2,"228",200.5,"Right",1,1,0,350,"craving","Right","NoStop"
23219489,2,"229",310.6,"Right",1,1,0,350,"craving","Right","NoStop"
23219489,2,"230",1149.904,"NoGo",NA,1,0,350,"craving","NoGo","Stop"
23219489,2,"231",105.8,"Left",1,0,1,400,"craving","NoGo","Stop"
23219489,2,"232",366.2,"Right",1,1,0,350,"craving","Right","NoStop"
23219489,2,"233",271,"Right",1,1,0,350,"craving","Right","NoStop"
23219489,2,"234",321.1,"Left",1,1,0,350,"craving","Left","NoStop"
23219489,2,"235",160.5,"Right",1,0,1,350,"craving","NoGo","Stop"
23219489,2,"236",354.5,"Left",1,1,0,300,"craving","Left","NoStop"
23219489,2,"237",261,"Right",1,1,0,300,"craving","Right","NoStop"
23219489,2,"238",250.2,"Right",1,1,0,300,"craving","Right","NoStop"
23219489,2,"239",155.4,"Right",1,1,0,300,"craving","Right","NoStop"
23219489,2,"240",1199.798,"NoGo",NA,1,0,300,"craving","NoGo","Stop"
23220956,3,"1",137.3,"Right",1,1,0,250,"craving","Right","NoStop"
23220956,3,"2",156.1,"Right",1,1,0,250,"craving","Right","NoStop"
23220956,3,"3",155.6,"Right",1,1,0,250,"craving","Right","NoStop"
23220956,3,"4",111.1,"Right",1,0,1,250,"craving","NoGo","Stop"
23220956,3,"5",314.2,"Left",1,1,0,200,"craving","Left","NoStop"
23220956,3,"6",431.1999999,"Right",1,0,1,200,"craving","NoGo","Stop"
23220956,3,"7",510,"Right",1,1,0,150,"craving","Right","NoStop"
23220956,3,"8",1349.587,"NoGo",NA,1,0,150,"craving","NoGo","Stop"
23220956,3,"9",1299.548,"NoGo",NA,1,0,200,"craving","NoGo","Stop"
23220956,3,"10",290.9,"Right",1,1,0,250,"craving","Right","NoStop"
23220956,3,"11",251.6,"Right",1,0,1,250,"craving","NoGo","Stop"
23220956,3,"12",1299.613,"NoGo",NA,1,0,200,"craving","NoGo","Stop"
23220956,3,"13",410.9,"Right",1,1,0,250,"craving","Right","NoStop"
23220956,3,"14",132.2,"Right",1,1,0,250,"craving","Right","NoStop"
23220956,3,"15",375.3000001,"Left",1,1,0,250,"craving","Left","NoStop"
23220956,3,"16",235.6,"Left",1,1,0,250,"craving","Left","NoStop"
23220956,3,"17",400.7,"Right",1,1,0,250,"craving","Right","NoStop"
23220956,3,"18",105.7,"Right",1,1,0,250,"craving","Right","NoStop"
23220956,3,"19",260.5,"Right",1,1,0,250,"craving","Right","NoStop"
23220956,3,"20",367.6999999,"Left",1,1,0,250,"craving","Left","NoStop"
23220956,3,"21",1249.483,"NoGo",NA,1,0,250,"craving","NoGo","Stop"
23220956,3,"22",296.7,"Right",1,1,0,300,"craving","Right","NoStop"
23220956,3,"23",42.5,"Left",1,1,0,300,"craving","Left","NoStop"
23220956,3,"24",132.9,"Right",1,1,0,300,"craving","Right","NoStop"
23220956,3,"25",102.9,"Left",1,0,1,300,"craving","NoGo","Stop"
23220956,3,"26",432.3,"Left",1,1,0,250,"craving","Left","NoStop"
23220956,3,"27",142.4,"Right",1,1,0,250,"craving","Right","NoStop"
23220956,3,"28",339.2,"Right",1,1,0,250,"craving","Right","NoStop"
23220956,3,"29",565.3000001,"Right",1,1,0,250,"craving","Right","NoStop"
23220956,3,"30",224.1,"Left",1,1,0,250,"craving","Left","NoStop"
23220956,3,"31",270.6,"Left",1,1,0,250,"craving","Left","NoStop"
23220956,3,"32",242.4,"Right",1,1,0,250,"craving","Right","NoStop"
23220956,3,"33",183.8,"Left",1,1,0,250,"craving","Left","NoStop"
23220956,3,"34",407.9000001,"Right",1,1,0,250,"craving","Right","NoStop"
23220956,3,"35",1249.522,"NoGo",NA,1,0,250,"craving","NoGo","Stop"
23220956,3,"36",112.9,"Left",1,1,0,300,"craving","Left","NoStop"
23220956,3,"37",106.1,"Left",1,1,0,300,"craving","Left","NoStop"
23220956,3,"38",251.1,"Right",1,1,0,300,"craving","Right","NoStop"
23220956,3,"39",184,"Left",1,1,0,300,"craving","Left","NoStop"
23220956,3,"40",246.6,"Right",1,1,0,300,"craving","Right","NoStop"
23220956,3,"41",183.1999999,"Right",1,1,0,300,"craving","Right","NoStop"
23220956,3,"42",300.2,"Left",1,1,0,300,"craving","Left","NoStop"
23220956,3,"43",1199.494,"NoGo",NA,1,0,300,"craving","NoGo","Stop"
23220956,3,"44",32.0999999,"Left",1,1,0,350,"craving","Left","NoStop"
23220956,3,"45",252.3000001,"Left",1,1,0,350,"craving","Left","NoStop"
23220956,3,"46",1149.547,"NoGo",NA,1,0,350,"craving","NoGo","Stop"
23220956,3,"47",90,"Left",1,1,0,400,"craving","Left","NoStop"
23220956,3,"48",41.19999993,"Right",1,1,0,400,"craving","Right","NoStop"
